GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
1522,42423772.0,1400937.0,16.38,0.541,42.375634,-71.867382
1523,65266074.0,1166195.0,25.199,0.45,42.483569,-71.675585
1524,41390162.0,2494186.0,15.981,0.963,42.249603,-71.919217
1525,1162429.0,81163.0,0.449,0.031,42.106794,-71.630518
1527,40346711.0,1861968.0,15.578,0.719,42.192246,-71.777649
1529,12596928.0,143331.0,4.864,0.055,42.036642,-71.578779
1531,53773245.0,403234.0,20.762,0.156,42.319125,-72.130814
1532,47840780.0,705398.0,18.471,0.272,42.323342,-71.646236
1534,22683896.0,325551.0,8.758,0.126,42.142074,-71.643348
1535,55084355.0,1754940.0,21.268,0.678,42.267564,-72.066876
1536,21589160.0,748441.0,8.336,0.289,42.231309,-71.692642
1537,18084549.0,295746.0,6.982,0.114,42.158966,-71.897051
1540,50104202.0,2048499.0,19.345,0.791,42.116263,-71.857465
1541,91769490.0,1032231.0,35.432,0.399,42.454125,-71.87754
1542,10428067.0,422663.0,4.026,0.163,42.204251,-71.908907
1543,90948948.0,2972529.0,35.116,1.148,42.388285,-71.969865
1545,53731552.0,2717798.0,20.746,1.049,42.284767,-71.714228
1550,52418639.0,1611501.0,20.239,0.622,42.059737,-72.033908
1560,9235407.0,270460.0,3.566,0.104,42.175395,-71.674223
1561,319275.0,0.0,0.123,0.0,42.44397,-71.685583
1562,85035834.0,3053864.0,32.833,1.179,42.247211,-71.991867
1564,79294039.0,2752967.0,30.616,1.063,42.447924,-71.776045
1566,73421232.0,2569631.0,28.348,0.992,42.103214,-72.079545
1568,55570155.0,610353.0,21.456,0.236,42.176526,-71.603588
1569,75310393.0,1580615.0,29.078,0.61,42.05593,-71.631232
1570,32005192.0,5800852.0,12.357,2.24,42.047532,-71.846952
1571,53953608.0,2745002.0,20.832,1.06,42.053778,-71.935075
1581,53357574.0,2228806.0,20.601,0.861,42.268426,-71.613309
1583,32682786.0,2354742.0,12.619,0.909,42.369417,-71.785036
1585,66168212.0,1669172.0,25.548,0.644,42.240796,-72.162645
1588,22296364.0,1649002.0,8.609,0.637,42.118794,-71.672494
1590,82919847.0,4173702.0,32.016,1.611,42.132051,-71.750318
1602,14933023.0,631589.0,5.766,0.244,42.269189,-71.850728
1603,11692457.0,340394.0,4.514,0.131,42.243826,-71.843569
1604,16674556.0,476608.0,6.438,0.184,42.253254,-71.767957
1605,14613491.0,341305.0,5.642,0.132,42.289683,-71.787793
1606,15353873.0,24032.0,5.928,0.009,42.315249,-71.795741
1607,8187237.0,136952.0,3.161,0.053,42.225974,-71.788894
1608,1159107.0,0.0,0.448,0.0,42.26198,-71.801462
1609,9893463.0,56961.0,3.82,0.022,42.285114,-71.829987
1610,5505967.0,9032.0,2.126,0.003,42.247049,-71.808366
1611,8914393.0,647960.0,3.442,0.25,42.237604,-71.875838
1612,39662274.0,1981212.0,15.314,0.765,42.296798,-71.928991
1701,43947040.0,1816965.0,16.968,0.702,42.319587,-71.4428
1702,20951465.0,1972408.0,8.089,0.762,42.282379,-71.436621
1718,121367.0,0.0,0.047,0.0,42.519816,-71.429283
1719,26638827.0,317227.0,10.285,0.122,42.485985,-71.520985
1720,51058853.0,1114408.0,19.714,0.43,42.483953,-71.438495
1721,31948334.0,1395751.0,12.335,0.539,42.257755,-71.473526
1730,35485224.0,462663.0,13.701,0.179,42.499295,-71.281889
1731,2051821.0,0.0,0.792,0.0,42.456754,-71.279477
1740,51653594.0,348725.0,19.944,0.135,42.439941,-71.601879
1741,39560420.0,641489.0,15.274,0.248,42.53662,-71.361832
1742,63287949.0,3359581.0,24.436,1.297,42.462911,-71.364496
1745,1033539.0,3023.0,0.399,0.001,42.292114,-71.499197
1746,48280516.0,1067774.0,18.641,0.412,42.195951,-71.45343
1747,13403501.0,438658.0,5.175,0.169,42.123007,-71.531404
1748,67924465.0,4218835.0,26.226,1.629,42.224096,-71.540489
